ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
392350307,-24.7775275,-65.4112093,Florentino Ameghino,Paseo Florentino Ameghino,Florentino Ameghino y Paseo Florentino Ameghino
392350309,-24.7776393,-65.4056856,Florentino Ameghino,Juan Martín de Pueyrredón,Florentino Ameghino y Juan Martín de Pueyrredón
392350310,-24.7848873,-65.411925,Antonio Balcarce,Santiago del Estero,Antonio Balcarce y Santiago del Estero
392350311,-24.7810578,-65.4115135,Antonio Balcarce,Avenida Entre Ríos,Antonio Balcarce y Avenida Entre Ríos
392350312,-24.7798168,-65.4114278,Adolfo Alsina,Antonio Balcarce,Adolfo Alsina y Antonio Balcarce
392350318,-24.7823843,-65.4116873,Antonio Balcarce,Bernardino Rivadavia,Antonio Balcarce y Bernardino Rivadavia
392350319,-24.7774787,-65.4084117,Facundo de Zuviría,Florentino Ameghino,Facundo de Zuviría y Florentino Ameghino
392350320,-24.7773837,-65.4098166,Bartolomé Mitre,Florentino Ameghino,Bartolomé Mitre y Florentino Ameghino
392350321,-24.7775529,-65.4070108,Deán Funes,Florentino Ameghino,Deán Funes y Florentino Ameghino
392350322,-24.7861943,-65.4120542,Antonio Balcarce,General Martín Miguel de Güemes,Antonio Balcarce y General Martín Miguel de Güemes
392350324,-24.7789254,-65.405787,Juan Martín de Pueyrredón,Mariano Necochea,Juan Martín de Pueyrredón y Mariano Necochea
392350325,-24.7788234,-65.4071412,Deán Funes,Mariano Necochea,Deán Funes y Mariano Necochea
392350326,-24.7787422,-65.4085479,Facundo de Zuviría,Mariano Necochea,Facundo de Zuviría y Mariano Necochea
392350327,-24.7786571,-65.4099458,Bartolomé Mitre,Mariano Necochea,Bartolomé Mitre y Mariano Necochea
392350328,-24.7801869,-65.405902,Adolfo Alsina,Juan Martín de Pueyrredón,Adolfo Alsina y Juan Martín de Pueyrredón
392350329,-24.7800665,-65.4072763,Adolfo Alsina,Deán Funes,Adolfo Alsina y Deán Funes
392350330,-24.7799909,-65.4086983,Adolfo Alsina,Facundo de Zuviría,Adolfo Alsina y Facundo de Zuviría
392350331,-24.7799046,-65.410058,Adolfo Alsina,Bartolomé Mitre,Adolfo Alsina y Bartolomé Mitre
392350332,-24.7814293,-65.4060301,Avenida Entre Ríos,Juan Martín de Pueyrredón,Avenida Entre Ríos y Juan Martín de Pueyrredón
392350333,-24.7813349,-65.4074005,Avenida Entre Ríos,Deán Funes,Avenida Entre Ríos y Deán Funes
392350334,-24.7812498,-65.4087831,Avenida Entre Ríos,Facundo de Zuviría,Avenida Entre Ríos y Facundo de Zuviría
392350335,-24.7811438,-65.4101656,Avenida Entre Ríos,Bartolomé Mitre,Avenida Entre Ríos y Bartolomé Mitre
392350336,-24.7827409,-65.4062804,Bernardino Rivadavia,Juan Martín de Pueyrredón,Bernardino Rivadavia y Juan Martín de Pueyrredón
392350337,-24.7826576,-65.4075564,Bernardino Rivadavia,Deán Funes,Bernardino Rivadavia y Deán Funes
392350338,-24.782555,-65.4089378,Bernardino Rivadavia,Facundo de Zuviría,Bernardino Rivadavia y Facundo de Zuviría
392350339,-24.7824667,-65.4103086,Bartolomé Mitre,Bernardino Rivadavia,Bartolomé Mitre y Bernardino Rivadavia
392350340,-24.7839841,-65.406401,Juan Martín Leguizamón,Juan Martín de Pueyrredón,Juan Martín Leguizamón y Juan Martín de Pueyrredón
392350341,-24.7839014,-65.4076919,Deán Funes,Juan Martín Leguizamón,Deán Funes y Juan Martín Leguizamón
392350342,-24.7838073,-65.409049,Facundo de Zuviría,Juan Martín Leguizamón,Facundo de Zuviría y Juan Martín Leguizamón
392350343,-24.7837131,-65.4104201,Bartolomé Mitre,Juan Martín Leguizamón,Bartolomé Mitre y Juan Martín Leguizamón
392350344,-24.7853361,-65.40652,Juan Martín de Pueyrredón,Santiago del Estero,Juan Martín de Pueyrredón y Santiago del Estero
392350345,-24.7852213,-65.407834,Deán Funes,Santiago del Estero,Deán Funes y Santiago del Estero
392350346,-24.7851203,-65.4091942,Facundo de Zuviría,Santiago del Estero,Facundo de Zuviría y Santiago del Estero
